2.437, 4159766, 17.83
3.437, 4159749, 18.0
4.437, 4159761, 18.04
5.437, 4159660, 18.05
6.437, 4159681, 18.06
7.437, 4157021, 18.07
8.437, 4159537, 18.33
9.437, 4159701, 18.7
10.437, 4159645, 18.83
11.437, 4159572, 18.51
12.437, 4160319, 18.45
13.437, 4159583, 18.43
14.437, 4159573, 18.41
15.437, 4159556, 18.4
16.437, 4159520, 18.4
17.437, 4159450, 18.4
18.437, 4159687, 18.4
19.437, 4159546, 18.4
20.437, 4159508, 18.41
21.437, 4159523, 18.41
22.437, 4159449, 18.42
23.437, 4159495, 18.43
24.437, 4159335, 18.43
25.437, 4159381, 18.44
26.437, 4159418, 18.44
27.437, 4159431, 18.45
28.437, 4159455, 18.46
29.437, 4159488, 18.47
30.437, 4159442, 18.47
31.437, 4159428, 18.48
32.437, 4159453, 18.49
33.437, 4159445, 18.5
34.437, 4159524, 18.51
35.437, 4159498, 18.51
36.437, 4159360, 18.52
37.437, 4159454, 18.53
38.437, 4159227, 18.54
39.437, 4159233, 18.55
40.437, 4159281, 18.56
41.437, 4159223, 18.56
42.437, 4159264, 18.57
43.437, 4159229, 18.58
44.437, 4159234, 18.58
45.437, 4159233, 18.6
46.437, 4159224, 18.61
47.437, 4159169, 18.62
48.437, 4159087, 18.62
49.437, 4159175, 18.64
50.437, 4159165, 18.64
51.437, 4159116, 18.65
52.437, 4159166, 18.66
53.437, 4159098, 18.66
54.437, 4159186, 18.67
55.437, 4159202, 18.68
56.437, 4159169, 18.69
57.437, 4159238, 18.7
58.437, 4159152, 18.7
59.437, 4159279, 18.71
60.437, 4159185, 18.72
61.437, 4159133, 18.73
62.437, 4159264, 18.73
63.437, 4159291, 18.74
64.437, 4159192, 18.75
65.437, 4159245, 18.76
66.437, 4159304, 18.77
67.437, 4159206, 18.78
68.437, 4159197, 18.78
69.437, 4159203, 18.79
70.437, 4159136, 18.79
71.437, 4159140, 18.8
72.437, 4159114, 18.81
73.437, 4159294, 18.81
74.437, 4159159, 18.82
75.437, 4159226, 18.83
76.437, 4159243, 18.83
77.437, 4159214, 18.85
78.437, 4159164, 18.85
79.437, 4159104, 18.86
80.437, 4159179, 18.86
81.437, 4159213, 18.87
82.437, 4159077, 18.87
83.437, 4159250, 18.88
84.437, 4159293, 18.88
85.437, 4159201, 18.89
86.437, 4159141, 18.9
87.437, 4159198, 18.9
88.437, 4159028, 18.91
89.437, 4159220, 18.91
90.437, 4159077, 18.92
91.437, 4159230, 18.92
92.437, 4159201, 18.93
93.437, 4159065, 18.93
94.437, 4159115, 18.94
95.437, 4159036, 18.95
96.437, 4159134, 18.95
97.437, 4159043, 18.95
98.437, 4159098, 18.96
99.437, 4159057, 18.96
100.437, 4158963, 18.97
101.437, 4158948, 18.97
102.437, 4158980, 18.97
103.437, 4158991, 18.98
104.437, 4158963, 18.98
105.437, 4159164, 18.99
106.437, 4159151, 18.99
107.437, 4159068, 19.0
108.437, 4159191, 19.0
109.437, 4159194, 19.01
110.437, 4159170, 19.01
111.437, 4159088, 19.02
112.437, 4159289, 19.02
113.437, 4159155, 19.02
114.437, 4159293, 19.03
115.437, 4159015, 19.03
116.437, 4159105, 19.03
117.437, 4158979, 19.04
118.437, 4159113, 19.05
119.437, 4159055, 19.05
120.437, 4159122, 19.06
121.437, 4159071, 19.06
122.437, 4159049, 19.06
123.437, 4159035, 19.06
124.437, 4159060, 19.07
125.437, 4159104, 19.07
126.437, 4158962, 19.08
127.437, 4158897, 19.09
128.437, 4159049, 19.08
129.437, 4158983, 19.09
130.437, 4158941, 19.1
131.437, 4158914, 19.1
132.437, 4158962, 19.1
133.437, 4158945, 19.1
134.437, 4158906, 19.1
135.437, 4159133, 19.11
136.437, 4159133, 19.12
137.437, 4159184, 19.12
138.437, 4159177, 19.12
139.437, 4159294, 19.13
140.437, 4159304, 19.13
